System initialized

Reading in Gromacs topology "system_GMX.top"...
Topology loaded

Reading in Gromacs structure "system_GMX.gro"...
Structure loaded

Writing Gromacs structure file...
Finished writing "system_GMX_out.gro"

Writing Gromacs topology file...
Finished writing "system_GMX_out.top"

         31370901 function calls (28826149 primitive calls) in 30.697 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
     8373    0.009    0.000    0.009    0.000 _weakrefset.py:68(__contains__)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:77(add)
        1    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
8370/8368    0.010    0.000    0.019    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 abc.py:86(__new__)
        1    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 basedimension.py:15(BaseDimension)
        9    0.000    0.000    0.000    0.000 basedimension.py:34(__init__)
     1069    0.001    0.000    0.001    0.000 basedimension.py:47(__cmp__)
     8737    0.002    0.000    0.002    0.000 basedimension.py:57(__hash__)
        1    0.000    0.000    0.000    0.000 basedimension.py:9(<module>)
       12    0.000    0.000    0.000    0.000 baseunit.py:121(conversion_factor_to)
        1    0.000    0.000    0.000    0.000 baseunit.py:14(BaseUnit)
      101    0.000    0.000    0.000    0.000 baseunit.py:22(__init__)
        3    0.000    0.000    0.000    0.000 baseunit.py:40(__cmp__)
      234    0.000    0.000    0.000    0.000 baseunit.py:50(iter_base_dimensions)
       52    0.000    0.000    0.000    0.000 baseunit.py:56(iter_base_units)
       91    0.000    0.000    0.000    0.000 baseunit.py:59(get_dimension_tuple)
       92    0.004    0.000    0.005    0.000 baseunit.py:75(define_conversion_factor_to)
        1    0.000    0.000    0.000    0.000 baseunit.py:9(<module>)
        1    0.000    0.000    0.000    0.000 bdb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bdb.py:10(BdbQuit)
        1    0.000    0.000    0.000    0.000 bdb.py:14(Bdb)
        1    0.000    0.000    0.000    0.000 bdb.py:432(Breakpoint)
        1    0.000    0.000    0.000    0.000 bdb.py:597(Tdb)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cmd.py:46(<module>)
        1    0.000    0.000    0.000    0.000 cmd.py:55(Cmd)
        1    0.001    0.001    0.003    0.003 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 collections.py:20(_recursive_repr)
        1    0.000    0.000    0.000    0.000 collections.py:326(Counter)
        1    0.000    0.000    0.000    0.000 collections.py:46(OrderedDict)
        1    0.000    0.000    0.000    0.000 collections.py:58(__init__)
        3    0.000    0.000    0.000    0.000 collections.py:76(__setitem__)
       16    0.000    0.000    0.000    0.000 collections.py:97(__iter__)
        1    0.000    0.000    0.003    0.003 constants.py:4(<module>)
2306666/8366    4.566    0.000   16.988    0.002 copy.py:145(deepcopy)
   477609    0.095    0.000    0.095    0.000 copy.py:198(_deepcopy_atomic)
   103094    0.418    0.000    6.171    0.000 copy.py:226(_deepcopy_list)
    48308    0.744    0.000    1.007    0.000 copy.py:234(_deepcopy_tuple)
214554/8366    1.142    0.000   16.498    0.002 copy.py:253(_deepcopy_dict)
  1272857    1.204    0.000    1.625    0.000 copy.py:267(_keep_alive)
48308/8366    0.362    0.000   16.825    0.002 copy.py:306(_reconstruct)
    48308    0.035    0.000    0.054    0.000 copy_reg.py:92(__newobj__)
        3    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
        1    0.001    0.001    0.002    0.002 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
       20    0.000    0.000    0.000    0.000 mymatrix.py:132(numRows)
        8    0.000    0.000    0.000    0.000 mymatrix.py:135(numCols)
        4    0.000    0.000    0.000    0.000 mymatrix.py:159(is_square)
     5252    0.006    0.000    0.012    0.000 mymatrix.py:166(__getitem__)
        4    0.008    0.002    0.022    0.006 mymatrix.py:256(__invert__)
        8    0.000    0.000    0.000    0.000 mymatrix.py:27(zeros)
        1    0.000    0.000    0.000    0.000 mymatrix.py:3(<module>)
        1    0.000    0.000    0.000    0.000 mymatrix.py:367(MyMatrixTranspose)
        1    0.000    0.000    0.000    0.000 mymatrix.py:46(MyVector)
     5260    0.003    0.000    0.004    0.000 mymatrix.py:50(__init__)
     4450    0.001    0.000    0.001    0.000 mymatrix.py:62(__getitem__)
     2343    0.001    0.000    0.001    0.000 mymatrix.py:78(__setitem__)
        1    0.000    0.000    0.000    0.000 mymatrix.py:92(MyMatrix)
        1    0.000    0.000    0.000    0.000 pdb.py:18(Restart)
        1    0.002    0.002    0.003    0.003 pdb.py:3(<module>)
        1    0.000    0.000    0.000    0.000 pdb.py:59(Pdb)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:81(PrettyPrinter)
        9    0.001    0.000    0.014    0.002 prefix.py:110(define_prefixed_units)
        1    0.000    0.000    0.000    0.000 prefix.py:18(SiPrefix)
       29    0.000    0.000    0.000    0.000 prefix.py:24(__init__)
      189    0.001    0.000    0.008    0.000 prefix.py:29(__mul__)
        1    0.000    0.000    0.000    0.000 prefix.py:5(<module>)
   380984    2.247    0.000    4.940    0.000 quantity.py:163(__deepcopy__)
   113678    0.496    0.000    1.316    0.000 quantity.py:266(reduce_unit)
290155/290153    0.714    0.000    4.002    0.000 quantity.py:325(__mul__)
        3    0.000    0.000    0.001    0.000 quantity.py:366(__div__)
        1    0.000    0.000    0.000    0.000 quantity.py:40(<module>)
   176477    0.203    0.000    0.529    0.000 quantity.py:505(_change_units_with_factor)
        1    0.000    0.000    0.000    0.000 quantity.py:51(Quantity)
  1637703    0.676    0.000    1.193    0.000 quantity.py:634(is_quantity)
  1034783    2.246    0.000    4.612    0.000 quantity.py:77(__init__)
        4    0.000    0.000    0.009    0.002 re.py:188(compile)
        4    0.000    0.000    0.009    0.002 re.py:229(_compile)
        1    0.000    0.000    0.000    0.000 repr.py:1(<module>)
